TIME,CH1
51:56.0,818
51:56.0,1245
51:57.0,421
51:57.0,264
51:57.0,476
51:57.0,92
51:57.0,173
51:58.0,246
51:58.0,7
51:58.0,8
51:58.0,372
51:58.0,317
51:58.0,645
51:58.0,84
51:59.0,735
51:59.0,131
51:59.0,886
51:59.0,298
51:59.0,147
51:59.0,121
51:59.0,98
52:00.0,323
52:00.0,57
52:00.0,264
52:00.0,432
52:00.0,0
52:00.0,281
52:01.0,214
52:01.0,681
52:01.0,353
52:01.0,196
52:01.0,1130
52:01.0,559
52:01.0,430
52:01.0,81
52:01.0,288
52:02.0,2352
52:02.0,2343
52:02.0,0
52:02.0,517
52:02.0,303
52:02.0,237
52:02.0,0
52:02.0,17
52:03.0,34
52:03.0,125
52:03.0,203
52:03.0,0
52:03.0,0
52:03.0,512
52:03.0,261
52:03.0,308
52:04.0,0
52:04.0,554
52:05.0,126
52:05.0,377
52:05.0,28
52:05.0,253
52:06.0,43
52:06.0,0
52:07.0,0
52:08.0,0
52:08.0,320
52:08.0,166
52:09.0,0
52:10.0,0
52:11.0,0
52:11.0,0
52:12.0,0
52:13.0,1217
52:13.0,233
52:13.0,110
52:13.0,17
52:13.0,119
52:13.0,599
52:13.0,779
52:14.0,2303
52:14.0,0
52:14.0,43
52:15.0,3867
52:16.0,0
52:16.0,0
52:17.0,0
52:18.0,0
52:18.0,216
52:19.0,1528
52:19.0,2194
52:19.0,35
52:20.0,765
52:20.0,5477
52:20.0,0
52:21.0,123
52:22.0,0
52:22.0,1121
52:22.0,53
52:22.0,4821
52:23.0,0
52:24.0,5556
52:24.0,467
52:24.0,639
52:24.0,560
52:25.0,2590
52:25.0,0
52:26.0,0
52:26.0,0
52:27.0,0
52:28.0,0
